rank,artist_seed_id,display_artist,raw_artist,observed_weight_score,observed_count,observed_sample_count,first_observed,last_observed
1,11,DAY6 (데이식스),DAY6 (데이식스),130,68,8,2024-03-15,2025-12-15
2,20,NewJeans,NewJeans,91,57,8,2024-03-15,2025-12-15
3,13,aespa,aespa,87,39,8,2024-03-15,2025-12-15
4,14,IVE (아이브),IVE (아이브),71,43,8,2024-03-15,2025-12-15
5,5,아이유(IU),아이유(IU),53,25,8,2024-03-15,2025-12-15
6,93,로제(ROSÉ),로제(ROSÉ),49,23,5,2024-12-15,2025-12-15
7,92,G-DRAGON,G-DRAGON,43,19,5,2024-12-15,2025-12-15
8,22,제니 (JENNIE),제니 (JENNIE),40,18,7,2024-03-15,2025-12-15
9,4,LE SSERAFIM (르세라핌),LE SSERAFIM (르세라핌),39,17,6,2024-03-15,2025-12-15
10,2,i-dle (아이들),i-dle (아이들),32,16,8,2024-03-15,2025-12-15
