artist_rank,artist_seed_id,seed_artist,query_type,query,position,video_id,youtube_url,youtube_title,channel_title,channel_id,published_at,inferred_artist,inferred_song_title,action,source_type,official_score,reason
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,1,RowlrvmyFEk,https://www.youtube.com/watch?v=RowlrvmyFEk,DAY6(데이식스) &quot;Welcome to the Show&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2024-03-18T09:00:07Z,DAY6 (데이식스),DAY6(데이식스) &quot;Welcome to the Show&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,2,x3sFsHrUyLQ,https://www.youtube.com/watch?v=x3sFsHrUyLQ,DAY6 &quot;Congratulations&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2015-09-06T14:59:51Z,DAY6 (데이식스),&quot;Congratulations&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,3,sWXGbkM0tBI,https://www.youtube.com/watch?v=sWXGbkM0tBI,DAY6 &quot;HAPPY&quot; LIVE CLIP,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,2024-03-29T09:00:07Z,DAY6 (데이식스),&quot;HAPPY&quot; LIVE CLIP,reject,,0,excluded_video_term
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,4,qWQ1xOfUNYQ,https://www.youtube.com/watch?v=qWQ1xOfUNYQ,DAY6 &quot;When you love someone(그렇더라고요)&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2017-09-29T02:59:44Z,DAY6 (데이식스),&quot;When you love someone(그렇더라고요)&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,5,8-gN7x_VcKE,https://www.youtube.com/watch?v=8-gN7x_VcKE,DAY6(데이식스) &quot;Emergency&quot; VCR _2019 Christmas Special Concert &#39;The Present&#39;,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,2019-12-31T09:00:04Z,DAY6 &quot;Emergency&quot; VCR,2019 Christmas Special Concert &#39;The Present&#39;,reject,,45,"artist_match,artist_channel"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,6,O3nFopIjmjI,https://www.youtube.com/watch?v=O3nFopIjmjI,DAY6 &quot;I Wait(아 왜)&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2017-01-05T15:00:01Z,DAY6 (데이식스),&quot;I Wait(아 왜)&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,7,2dFwndi4ung,https://www.youtube.com/watch?v=2dFwndi4ung,DAY6 &quot;HAPPY&quot; Lyric Video,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,2024-04-18T15:00:04Z,DAY6 (데이식스),&quot;HAPPY&quot; Lyric Video,reject,,0,excluded_video_term
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,8,vnS_jn2uibs,https://www.youtube.com/watch?v=vnS_jn2uibs,DAY6 &quot;Time of Our Life(한 페이지가 될 수 있게)&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2019-07-15T08:59:58Z,DAY6 (데이식스),&quot;Time of Our Life(한 페이지가 될 수 있게)&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,9,LlFcvjDBSCU,https://www.youtube.com/watch?v=LlFcvjDBSCU,Love me or Leave me,DAY6 - Topic,UCFEVXX0YX4eT6tdNkXi40vg,2020-05-12T15:51:19Z,DAY6 (데이식스),Love me or Leave me,review,topic_art_track,50,"channel_artist_match,topic_channel"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,10,k8gx-C7GCGU,https://www.youtube.com/watch?v=k8gx-C7GCGU,DAY6 &quot;Zombie&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2020-05-11T08:59:52Z,DAY6 (데이식스),&quot;Zombie&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,11,Hg_V19-XVto,https://www.youtube.com/watch?v=Hg_V19-XVto,DAY6(데이식스) &quot;INSIDE OUT&quot; M/V Reaction Video,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,2025-09-10T11:00:16Z,DAY6 (데이식스),DAY6(데이식스) &quot;INSIDE OUT&quot; Reaction Video,reject,,0,excluded_video_term
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,12,hZ6pts6e8dI,https://www.youtube.com/watch?v=hZ6pts6e8dI,DAY6(데이식스) &quot;꿈의 버스&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2025-09-06T12:07:04Z,DAY6 (데이식스),DAY6(데이식스) &quot;꿈의 버스&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,13,9GxSyakQlNo,https://www.youtube.com/watch?v=9GxSyakQlNo,DAY6 (데이식스) - Somehow (어쩌다 보니) (Color Coded Lyrics Eng/Rom/Han),Jaeguchi,UCmth4hMyizG-_W9jidBqs_A,2018-06-26T10:50:16Z,DAY6,Somehow (어쩌다 보니) (Color Coded Lyrics Eng/Rom/Han),reject,,0,excluded_video_term
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,14,yss4rIrHl6o,https://www.youtube.com/watch?v=yss4rIrHl6o,DAY6(데이식스) &quot;녹아내려요 (Melt Down)&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2024-09-02T09:00:03Z,DAY6 (데이식스),DAY6(데이식스) &quot;녹아내려요 (Melt Down)&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,15,_O1z_NXfukU,https://www.youtube.com/watch?v=_O1z_NXfukU,DAY6 - &quot;Afraid&quot; SUNGJIN Guide Audio,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,2020-09-20T09:06:56Z,DAY6,&quot;Afraid&quot; SUNGJIN Guide,review,official_audio,65,"artist_match,official_audio_title,artist_channel"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,16,g2X2LdJAIpU,https://www.youtube.com/watch?v=g2X2LdJAIpU,DAY6 &quot;Shoot Me&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2018-06-26T08:59:31Z,DAY6 (데이식스),&quot;Shoot Me&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,17,kzRCBQK_Shk,https://www.youtube.com/watch?v=kzRCBQK_Shk,[DAY6의 겨울캠핑 🏕️] EP.1 &quot;우리 이제 뭐 해요?&quot;,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,2026-01-02T09:00:03Z,DAY6 (데이식스),EP.1 &quot;우리 이제 뭐 해요?&quot;,reject,,45,"artist_match,artist_channel"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,18,-N-pmPKS-bE,https://www.youtube.com/watch?v=-N-pmPKS-bE,DAY6(데이식스) &quot;INSIDE OUT&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2025-09-05T09:00:06Z,DAY6 (데이식스),DAY6(데이식스) &quot;INSIDE OUT&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,19,gqh2oXaCHMA,https://www.youtube.com/watch?v=gqh2oXaCHMA,[LIVE] HAPPY｜2024 DAY6 CONCERT ＜Welcome to the Show＞,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,2024-05-17T15:00:03Z,DAY6 (데이식스),HAPPY｜2024 CONCERT ＜Welcome to the Show＞,reject,,0,excluded_video_term
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,20,0fyZqS0N19o,https://www.youtube.com/watch?v=0fyZqS0N19o,DAY6(데이식스) &quot;Maybe Tomorrow&quot; M/V,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2025-05-07T09:00:03Z,DAY6 (데이식스),DAY6(데이식스) &quot;Maybe Tomorrow&quot;,approve,official_mv,90,"artist_match,official_mv_title,official_channel,official_title_signal"
