artist_rank,artist_seed_id,seed_artist,query_type,query,result_count,qualified_count,review_count,rejected_count,top_official_score,top_action,top_title,top_channel
1,11,DAY6 (데이식스),basic_mv,DAY6 mv,25,13,3,9,90,approve,DAY6(데이식스) &quot;Welcome to the Show&quot; M/V,JYP Entertainment
1,11,DAY6 (데이식스),negative_mv,DAY6 mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,11,1,13,90,approve,Day6 - Maybe Tomorrow🫰🏻 #day6  #sungjin #youngk #wonpil #dowoon #evenofday #myday #yooseungho #mv,I love Entertainment News 
2,20,NewJeans,basic_mv,NewJeans mv,25,19,6,0,90,approve,NewJeans (뉴진스) &#39;New Jeans&#39; Official MV,HYBE LABELS
2,20,NewJeans,negative_mv,NewJeans mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,16,0,9,90,approve,NewJeans (뉴진스) &#39;Ditto&#39; Official MV (side A) (Boycott),Newjeans boycott
3,13,aespa,basic_mv,aespa mv,25,14,5,6,90,approve,aespa 에스파 &#39;Whiplash&#39; MV,SMTOWN
3,13,aespa,negative_mv,aespa mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,17,0,8,90,approve,aespa 에스파 &#39;We Go&#39; MV,aespa Official
4,14,IVE (아이브),basic_mv,IVE mv,25,20,2,3,90,approve,IVE 아이브 ‘XOXZ’ MV,STARSHIP
4,14,IVE (아이브),negative_mv,IVE mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,14,0,11,90,approve,[MV] IVE(아이브) _ After LIKE,1theK (원더케이)
5,5,아이유(IU),basic_mv,아이유 mv,25,19,1,5,90,approve,IU &#39;Never Ending Story&#39; MV,이지금 [IU Official]
5,5,아이유(IU),negative_mv,아이유 mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,21,0,4,70,review,RECORDING ❤️❤️😍😍#iu #dimashqudaibergen #leejieun #dq #behindthescene #mv #kpop,k_tube777
6,93,로제(ROSÉ),basic_mv,로제 mv,25,7,1,17,90,approve,ROSÉ - toxic till the end (OFFICIAL MUSIC VIDEO),ROSÉ
6,93,로제(ROSÉ),negative_mv,로제 mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,20,0,5,90,approve,BLACKPINK - &#39;ECLIPSE&#39; HIGHLIGHT CLIP #1 #blackpink #kpop #rosé #blink #mv #eclipse #outnow,JENEX LABELS 
7,92,G-DRAGON,basic_mv,G-DRAGON mv,25,13,1,11,90,approve,G-DRAGON - HEARTBREAKER M/V,YG ENTERTAINMENT
7,92,G-DRAGON,negative_mv,G-DRAGON mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,9,0,16,70,review,G Dragon지드레곤 ‘POWER’ MV!! #GDragon#kpop#power#EMPIRE#mv#bigbang#지드래곤#지디,오본좌
8,22,제니 (JENNIE),basic_mv,제니 mv,25,3,9,13,90,approve,ZICO (지코) ‘SPOT! (feat. JENNIE)’ Official MV,HYBE LABELS
8,22,제니 (JENNIE),negative_mv,제니 mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,11,0,14,90,approve,[MV] JENNIE(제니)_SOLO Xuxi,SMYG Entertainment
9,4,LE SSERAFIM (르세라핌),basic_mv,LE SSERAFIM mv,25,13,2,10,90,approve,LE SSERAFIM (르세라핌) &#39;SPAGHETTI (feat. j-hope of BTS)&#39; OFFICIAL MV,HYBE LABELS
9,4,LE SSERAFIM (르세라핌),negative_mv,LE SSERAFIM mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,20,0,5,90,approve,[BEHIND THE SCENE] LE SSERAFIM (르세라핌) 4th Mini Album ‘CRAZY’ MV Shoot Sketch,LE SSERAFIM
10,2,i-dle (아이들),basic_mv,i-dle mv,25,21,0,4,90,approve,i-dle (아이들) &#39;Gimme Dat Love&#39; Official Music Video,i-dle (아이들)
10,2,i-dle (아이들),negative_mv,i-dle mv -cover -lyrics -lyric -karaoke -reaction -fancam -shorts -teaser -커버 -가사 -노래방 -직캠 -쇼츠 -티저,25,10,0,15,90,approve,Top 10 Most Viewed (G)i-dle MV #kpop #gidle,Marina Music
